the_geom,OBJECTID,Meter ID,Parking Zone,Street,Block,Type,Side,Number of Spaces,Parkmobile ID,Latitude,Longitude,Updated in CNOGIS
POINT (-90.064787310814 29.954102414083),1104059,N.PET-300-1133,6,N. Peters,300,SSM,L,1,29237,29.954097000000001,-90.064781699999997,
POINT (-90.071073712799 29.95220281337),1103503,CAR-200-0292,3,Carondelet,200,SSM,R,1,2957,29.952197399999999,-90.071068100000005,
POINT (-90.115412123051 29.920968705156),1103999,MAG-5400-0965,10,Magazine,5400,PS,L,7,29225,29.9209633,-90.115406500000006,
POINT (-90.072175612207 29.949733413523),1104204,POY-800-1358,7,Poydras,800,SSM,U,1,29291,29.949728,-90.07217,
POINT (-90.0810376151 29.953967414054),1103561,CLA-500-0408,2,Clara,500,PS,R,13,2978,29.953962000000001,-90.081031999999993,
POINT (-90.060956310204 29.95929781578),1104490,ST.PHI-500-1912,6,St. Phillip,500,PS,U,5,29383,29.959292399999999,-90.060950700000006,
POINT (-90.070083412497 29.957840214838),1103647,CNT-1000-0498,6,Conti,1000,SSM,U,1,29100,29.957834800000001,-90.070077800000007,
POINT (-90.080410014551 29.954134714135),1104157,PER-1600-1261,2,Perdido,1600,PS,D,3,29278,29.954129300000002,-90.080404400000006,
POINT (-90.075034012239 29.930674708463),1103956,MAG-2000-0962,10,Magazine,2000,PS,R,7,29212,29.930669300000002,-90.075028399999994,
POINT (-90.13106972888 29.948316810654),1104133,OAK-8200-1224,10,Oak,8200,PS,R,5,29265,29.948311400000001,-90.131064100000003,
POINT (-90.084049314373 29.925290307515),1103969,MAG-2900-0984,10,Magazine,2900,PS,R,4,29216,29.925284900000001,-90.084043699999995,
POINT (-90.130479128385 29.947987111157),1104130,OAK-8100-1211,10,Oak,8100,PS,L,8,29264,29.9479817,-90.130473499999994,
POINT (-90.071041212127 29.943849611625),1103492,CAM-900-0193,7,Camp,900,SSM,L,1,2940,29.943844200000001,-90.071035600000002,
POINT (-90.068527711763 29.957064214637),1103683,DAU-400-0471,6,Dauphine,400,SSM,L,1,29105,29.957058799999999,-90.068522099999996,
POINT (-90.067959411327 29.95224251412),1103622,CNL-500-0210,4,Canal,500,SSM,U,1,2944,29.952237100000001,-90.067953799999998,
POINT (-90.064478210933 29.954959514739),1103709,DEC-400-0517,6,Decatur,400,SSM,L,1,29110,29.954954099999998,-90.064472600000002,
POINT (-90.076801614018 29.947916412257),1103943,LOY-700-0875,7,Loyola,700,PS,L,7,29198,29.947911000000001,-90.076796000000002,
POINT (-90.103726620893 29.937088409539),1104023,MGN-4400-1070,10,Magnolia,4400,PS,R,8,29229,29.937083000000001,-90.103720999999993,
POINT (-90.069404611405 29.942698411416),1103400,AND-400-0015,8,Andrew Higgins,400,PS,D,0,2906,29.942692999999998,-90.069399000000004,
POINT (-90.134826829707 29.944994310312),1103848,HAM-8200-0737,10,Hampson,8200,SSM,L,1,29168,29.944988899999998,-90.134821200000005,
POINT (-90.068113710949 29.94929801278),1103986,MAG-400-0891,4,Magazine,400,SSM,L,1,29203,29.9492926,-90.068108100000003,
POINT (-90.067879811529 29.948828512609),1104190,POY-400-1338,8,Poydras,400,SSM,U,1,29287,29.948823099999998,-90.067874200000006,
POINT (-90.065375510992 29.952842513805),1104050,N.PET-200-1115,6,N. Peters,200,SSM,L,1,29236,29.9528371,-90.065369899999993,
POINT (-90.073249712124 29.94401261208),1103852,HOW-700-0711,7,Howard,700,PS,D,4,29169,29.944007200000001,-90.073244099999997,
POINT (-90.071962211931 29.944787912019),1104435,ST.CHA-800-1704,7,St. Charles,800,PS,R,9,29353,29.944782499999999,-90.071956599999993,
POINT (-90.065586711115 29.957273215335),1104521,TOU-700-1986,6,Toulouse,700,SSM,U,1,29394,29.9572678,-90.065581100000003,
POINT (-90.071073712799 29.95220281337),1103502,CAR-200-0290,3,Carondelet,200,SSM,R,1,2957,29.952197399999999,-90.071068100000005,
POINT (-90.065439510389 29.942167911596),1104239,S.DIA-200-1426,8,S. Diamond,200,PS,U,4,29312,29.942162499999998,-90.065433900000002,
POINT (-90.073783413069 29.94759491259),1103419,BAR-700-0035,7,Baronne,700,PS,R,7,2915,29.947589499999999,-90.073777800000002,
POINT (-90.073270813236 29.955836714289),1103594,CNL-1100-0254,3,Canal,1100,SSM,U,1,2950,29.9558313,-90.073265199999994,
POINT (-90.065011110754 29.955689714682),1104473,ST.LOU-500-1751,6,St. Louis,500,SSM,D,1,29375,29.955684300000001,-90.065005499999998,
POINT (-90.073933312707 29.943727112131),1103498,CAR-1000-0325,7,Carondelet,1000,PS,L,5,2965,29.943721700000001,-90.073927699999999,
POINT (-90.081328215501 29.954395113961),1104161,PER-1700-1316,2,Perdido,1700,PS,U,5,29279,29.9543897,-90.081322599999993,
POINT (-90.066424811205 29.954523814287),1103541,CHA-300-0372,6,Chartres,300,SSM,R,1,2969,29.954518400000001,-90.066419199999999,
POINT (-90.065462910493 29.939389310658),1104253,S.PET-1100-1468,8,S. Peters,1100,PS,R,6,29322,29.939383899999999,-90.065457300000006,
POINT (-90.076098312261 29.930113508892),1103962,MAG-2100-0935,10,Magazine,2100,PS,L,8,29213,29.930108100000002,-90.076092700000004,
POINT (-90.069125011028 29.94586871252),1104005,MAG-700-0905,8,Magazine,700,PS,L,5,29206,29.945863299999999,-90.069119400000005,
POINT (-90.069734012334 29.957221215119),1103468,BUR-300-0168,6,Burgundy,300,PS,R,4,2931,29.9572158,-90.069728400000002,
POINT (-90.064928011318 29.956182514679),1103546,CHA-500-0388,6,Chartres,500,SSM,R,1,2971,29.956177100000001,-90.0649224,
POINT (-90.073917013332 29.952959314081),1103820,GRA-1000-0650,3,Gravier,1000,PS,U,4,29158,29.952953900000001,-90.0739114,
POINT (-90.071908513183 29.956806014574),1104085,N.RAM-200-1159,6,N. Rampart,200,SSM,L,1,29243,29.956800600000001,-90.071902899999998,
POINT (-90.067241911709 29.95360901418),1103532,CHA-200-0352,6,Chartres,200,SSM,R,1,2968,29.953603600000001,-90.067236300000005,
POINT (-90.065617210876 29.94297331141),1104442,ST.JOS-200-1846,8,St. Joseph,200,SSM,U,1,29369,29.942967899999999,-90.065611599999997,
POINT (-90.066728411527 29.962282116354),1104107,N.RAM-900-1146,6,N. Rampart,900,SSM,R,1,29250,29.9622767,-90.066722799999994,
POINT (-90.065828011127 29.946299512784),1104266,S.PET-600-1478,8,S. Peters,600,SSM,R,1,29317,29.946294099999999,-90.065822400000002,
POINT (-90.074309612451 29.943250411951),1103497,CAR-1000-0293,7,Carondelet,1000,PS,L,7,2965,29.943245000000001,-90.074303999999998,
POINT (-90.064687511305 29.964871116367),1104080,N.RAM-1200-1189,6,N. Rampart,1200,SSM,L,1,29253,29.964865700000001,-90.064681899999997,
POINT (-90.065379010835 29.952837213554),1104049,N.PET-200-1113,6,N. Peters,200,SSM,L,1,29236,29.952831799999998,-90.065373399999999,
POINT (-90.073346112845 29.950507613079),1104143,PEN-400-1256,3,Penn,400,SSM,R,1,29272,29.950502199999999,-90.0733405,
POINT (-90.065212009744 29.940926511417),1103872,JOH-200-0733,8,John Churchill,200,PS,D,12,29177,29.940921100000001,-90.065206399999994,
POINT (-90.073839612643 29.944374611999),1103854,HOW-800-0713,7,Howard,800,PS,D,5,29170,29.944369200000001,-90.073834000000005,
POINT (-90.067036910984 29.953841914111),1103536,CHA-200-0360,6,Chartres,200,SSM,R,1,2968,29.953836500000001,-90.067031299999996,
POINT (-90.0578582089 29.961018815593),1103458,BRC-400-0074,6,Barracks,400,SSM,U,1,2918,29.961013399999999,-90.057852600000004,
POINT (-90.065010610854 29.94523741214),1104125,NOT-200-1209,8,Notre Dame,200,PS,D,3,29261,29.945232000000001,-90.065004999999999,
POINT (-90.072349612344 29.950122413263),1104203,POY-800-1343,3,Poydras,800,PS,D,7,29291,29.950116999999999,-90.072344000000001,
POINT (-90.133302628647 29.94484181044),1104013,MAP-8100-1078,10,Maple,8100,PS,R,7,29231,29.9448364,-90.133296999999999,
POINT (-90.072145312615 29.955476114537),1103583,CNL-1000-0237,6,Canal,1000,SSM,D,1,2949,29.955470699999999,-90.072139699999994,
POINT (-90.065345310091 29.944940612513),1103781,FUL-700-0647,8,Fulton,700,PS,L,8,29140,29.9449352,-90.065339699999996,
POINT (-90.092504717104 29.927535207677),1103736,DEL-1500-0524,9,Delachaise,1500,PS,U,7,29122,29.927529799999999,-90.092499099999998,
POINT (-90.065852510143 29.941658211743),1104248,S.PET-1000-1439,8,S. Peters,1000,SSM,L,1,29321,29.9416528,-90.065846899999997,
POINT (-90.066720411718 29.962290816222),1104108,N.RAM-900-1148,6,N. Rampart,900,SSM,R,1,29250,29.962285399999999,-90.0667148,
POINT (-90.057361309484 29.965503717155),1103679,DAU-2100-0504,6,Dauphine,2100,PS,R,12,29106,29.9654983,-90.057355700000002,
POINT (-90.075549513437 29.948832812927),1104305,S.RAM-600-1453,7,S. Rampart,600,PS,L,10,29330,29.948827399999999,-90.0755439,
POINT (-90.078453113248 29.935058809417),1104366,ST.AND-1500-1567,9,St. Andrew,1500,PS,D,7,29345,29.935053400000001,-90.078447499999996,
POINT (-90.076000413417 29.946560912118),1104309,S.RAM-800-1524,7,S. Rampart,800,PS,R,15,29332,29.946555499999999,-90.075994800000004,
POINT (-90.065029310513 29.953076413784),1103438,BIE-300-0116,6,Bienville,300,SSM,U,1,2923,29.953071000000001,-90.065023699999998,
POINT (-90.064867210663 29.942306211552),1104026,N.DIA-200-1075,8,N. Diamond,200,SSM,D,1,29232,29.942300800000002,-90.0648616,
POINT (-90.085722514659 29.924479507068),1103976,MAG-3100-0977,10,Magazine,3100,PS,L,10,29218,29.924474100000001,-90.085716899999994,
POINT (-90.070666311638 29.947039812434),1103556,CHU-700-0404,7,Church,700,SSM,R,1,2976,29.9470344,-90.070660700000005,
POINT (-90.06869591111 29.942543811539),1103398,AND-300-0021,8,Andrew Higgins,300,PS,D,9,2905,29.9425384,-90.0686903,
POINT (-90.069214011649 29.953485514067),1103632,CNL-700-0229,6,Canal,700,SSM,D,1,2946,29.9534801,-90.069208399999994,
POINT (-90.071174112135 29.954064013898),1103407,BAR-100-0070,3,Baronne,100,PS,R,10,2910,29.9540586,-90.071168499999999,
POINT (-90.065483710076 29.946108712225),1103795,GIR-200-0659,8,Girod,200,SSM,D,1,29144,29.946103300000001,-90.065478100000007,
POINT (-90.067511111057 29.949504312878),1104121,NAT-400-1204,4,Natchez,400,SSM,U,1,29260,29.949498899999998,-90.067505499999996,
POINT (-90.075748614028 29.952699413441),1103934,LOY-300-0867,2,Loyola,300,PS,L,8,29195,29.952694000000001,-90.075743000000003,
POINT (-90.065650510222 29.946143912137),1103794,GIR-200-0657,8,Girod,200,SSM,D,1,29144,29.9461385,-90.065644899999995,
POINT (-90.061823610459 29.958687915595),1103745,DUM-500-0581,6,Dumaine,500,SSM,D,1,29126,29.958682499999998,-90.061818000000002,
POINT (-90.06865561135 29.951571213385),1103473,CAM-200-0170,4,Camp,200,SSM,R,1,2933,29.951565800000001,-90.068650000000005,
POINT (-90.075830913047 29.938873510961),1104389,ST.CHA-1500-1623,9,St. Charles,1500,SSM,L,1,29359,29.938868100000001,-90.075825300000005,
POINT (-90.070699112824 29.958851715358),1103426,BAS-400-0100,6,Basin,400,SSM,R,1,2920,29.958846300000001,-90.070693500000004,
POINT (-90.065410210276 29.942814012025),1104441,ST.JOS-200-1844,8,St. Joseph,200,SSM,U,1,29369,29.942808599999999,-90.065404599999994,
POINT (-90.068862511504 29.956715914378),1103681,DAU-300-0467,6,Dauphine,300,SSM,L,1,29104,29.9567105,-90.0688569,
POINT (-90.075877813505 29.9575659144),1103603,CNL-1500-0268,5,Canal,1500,PS,U,6,2954,29.9575605,-90.075872200000006,
POINT (-90.065934610193 29.94707141257),1104262,S.PET-600-1425,8,S. Peters,600,SSM,L,1,29317,29.947066,-90.065928999999997,
POINT (-90.07482051308 29.948695412394),1104137,OKE-600-4001,7,O'Keefe,600,PS,L,13,29268,29.948689999999999,-90.074814900000007,
POINT (-90.093992617682 29.925693807343),1103404,ANT-1400-0035,9,Antonine,1400,PS,D,6,2909,29.925688399999999,-90.093986999999998,
POINT (-90.074289913064 29.944668911766),1103855,HOW-800-0719,7,Howard,800,SSM,D,1,29170,29.944663500000001,-90.074284300000002,
POINT (-90.063989610176 29.953636414418),1103649,CNT-300-0464,6,Conti,300,SSM,U,1,2997,29.953631000000001,-90.063984000000005,
