Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
2832 Cleveland Ave,2832 Cleveland Ave,Accessory STR,2,4,09/23/2020 11:59:59 PM,"(29.9659903163529, -90.0904431990124)",3674374.14,535258.71
2850 Annunciation St,2850 Annunciation St,Accessory STR,1,2,09/13/2020 11:59:59 PM,"(29.9229243546863, -90.0816637058543)",3677324.98,519628.6
4011 Iberville St,4011 Iberville St,Commercial STR,2,4,09/13/2020 11:59:59 PM,"(29.9750553723491, -90.0990026673118)",3671628.52,538525.82
4011 Iberville St,4011 Iberville St,Commercial STR,3,6,09/06/2020 09:48:53 AM,"(29.9751281842736, -90.0989168307143)",3671655.41,538552.59
1115 Valence St,1115 Valence St,Accessory STR,3,6,09/16/2020 11:59:59 PM,"(29.9229207671259, -90.1050681816078)",3669911.44,519547.07
14500 Tilbury Rd,14500 Tilbury Rd,Temporary STR,4,8,09/16/2020 11:59:59 PM,"(30.0680346664059, -89.942882812933)",3720644.26,572902.53
5319 Magazine St,5319 Magazine St,Commercial STR,2,4,09/16/2020 11:59:59 PM,"(29.9207317600233, -90.113193130599)",3667346.27,518723.57
1834 Conti St,1834 Conti St,Accessory STR,3,6,09/16/2020 11:59:59 PM,"(29.9625814818604, -90.0772184251116)",3678574.97,534064.79
3456 Desaix Blvd,3456 Desaix Blvd,Accessory STR,2,4,09/16/2020 11:59:59 PM,"(29.9887554592361, -90.0837361640334)",3676407.45,543560.09
126 N Jefferson Davis Prkwy,126 N Jefferson Davis Prkwy,Commercial STR,2,4,09/24/2020 11:59:59 PM,"(29.9705069087288, -90.0930858920452)",3673519.63,536892.05
1828 Eagle St,1828 Eagle St,Accessory STR,2,4,09/24/2020 11:59:59 PM,"(29.9568487990641, -90.1306870164286)",3661666.96,531798.52
3001 St Ann St,3001 St Ann St,Accessory STR,2,4,09/17/2020 11:59:59 PM,"(29.9735557483852, -90.0854363914222)",3675929.44,538027.02
2836 Aubry St,2836 Aubry St,Accessory STR,1,2,08/20/2020 11:59:59 PM,"(29.983449198925, -90.0758696173341)",3678918.77,541657.77
3606 Napoleon Ave,3606 Napoleon Ave,Accessory STR,3,6,09/17/2020 11:59:59 PM,"(29.9457864666495, -90.1043604795119)",3670046.43,527864.29
1630 N Galvez St,1630 N Galvez St,Accessory STR,2,4,09/28/2019 11:59:59 PM,"(29.9761348922537, -90.0693892445619)",3680999.57,539020.58
1630 N Galvez St,1630 N Galvez St,Accessory STR,2,4,09/28/2020 11:59:59 PM,"(29.9761348922537, -90.0693892445619)",3680999.57,539020.58
836 Washington Ave,836 Washington Ave,Accessory STR,1,2,09/24/2020 11:59:59 PM,"(29.9242911374919, -90.0812074859434)",3677464.06,520127.19
1228 Annunciation St,1228 Annunciation St,Accessory STR,2,4,09/24/2020 11:59:59 PM,"(29.9381843289402, -90.0685482084581)",3681418.16,525223.29
4217 Lasalle St.,4217 Lasalle St.,Accessory STR,2,4,08/31/2020 11:59:59 PM,"(29.9345734196994, -90.1010288530123)",3671145.36,523798.14
616 Caffin Ave,616 Caffin Ave,Accessory STR,3,6,09/17/2020 11:59:59 PM,"(29.9566636196818, -90.017529904545)",3697498.9,532124.95
7708 Ligustrum Dr,7708 Ligustrum Dr,Accessory STR,3,6,09/24/2020 11:59:59 PM,"(30.0369368886312, -90.0042975480874)",3701350.33,561363.62
738 Jackson Ave,738 Jackson Ave,Accessory STR,3,6,09/20/2020 11:59:59 PM,"(29.9270170125954, -90.0747110775244)",3679510.93,521140.96
531 Bouny St,531 Bouny St,Accessory STR,2,4,09/17/2020 11:59:59 PM,"(29.9498287928424, -90.0531474934068)",3686248.39,529511.8
278 West Robert E Lee Blvd,278 West Robert E Lee Blvd,Accessory STR,2,4,07/30/2020 10:06:27 AM,"(30.0201029669598, -90.1175898948672)",3665570.13,554844.05
2430 Frenchmen St,2430 Frenchmen St,Accessory STR,2,4,03/07/2020 11:59:59 PM,"(29.982367972399, -90.0593448066602)",3684154.32,541322.38
8226 Cohn St,8226 Cohn St,Accessory STR,3,6,10/01/2020 11:59:59 PM,"(29.953373194967, -90.1260158745804)",3663159.4,530550.21
4020 Tchoupitoulas St,4020 Tchoupitoulas St,Commercial STR,5,10,10/07/2020 11:59:59 PM,"(29.917335562791, -90.0970944088737)",3672459.11,517543.25
718 Peniston St,718 Peniston St,Accessory STR,2,4,10/07/2020 11:59:59 PM,"(29.919924902273, -90.0938149421975)",3673487.78,518496.05
3122 Toledano St,3122 Toledano St,Accessory STR,3,6,04/29/2020 01:17:53 PM,"(29.9438991567624, -90.0976584105256)",3672176.28,527200.82
814 Brooklyn Ave,814 Brooklyn Ave,Commercial STR,2,4,09/25/2020 11:59:59 PM,"(29.947121980744, -90.0533186978216)",3686205.17,528526.9
1041 Constance St Apt 220 Apt. 220,1041 Constance St Apt 220 Apt. 220,Commercial STR,1,2,09/25/2020 11:59:59 PM,"(29.9415475292851, -90.0697161997599)",3681034.76,526442.19
1053 Constance St Apt 304 Apt 304,1053 Constance St Apt 304 Apt 304,Commercial STR,2,4,09/25/2020 11:59:59 PM,"(29.9413137323126, -90.0696111080003)",3681068.98,526357.54
2247 St Claude Ave,2247 St Claude Ave,Commercial STR,3,6,10/31/2019 11:59:59 PM,"(29.9690788086294, -90.0552324620563)",3685510.06,536504.44
4222 Perrier St,4222 Perrier St,Accessory STR,3,6,09/25/2020 11:59:59 PM,"(29.9243757942572, -90.1000836085488)",3671484.65,520093.13
1053 Constance St apt. 209,1053 Constance St apt. 209,Commercial STR,2,4,09/25/2020 11:59:59 PM,"(29.9412283812519, -90.0695977271547)",3681073.56,526326.55
1053 Constance St Apt 206 Apt. 206,1053 Constance St Apt 206 Apt. 206,Commercial STR,1,2,09/25/2020 11:59:59 PM,"(29.9413384202937, -90.0695559798789)",3681086.34,526366.71
1053 Constance St Apt 208 Apt 208,1053 Constance St Apt 208 Apt 208,Commercial STR,2,4,09/25/2020 11:59:59 PM,"(29.9413455934788, -90.0695870227229)",3681076.48,526369.21
1041 Constance St Apt 219 Apt 219,1041 Constance St Apt 219 Apt 219,Commercial STR,2,4,09/25/2020 11:59:59 PM,"(29.9415429292845, -90.0696925129997)",3681042.28,526440.6
1053 Constance St Apt 210 Apt 210,1053 Constance St Apt 210 Apt 210,Commercial STR,2,4,09/25/2020 11:59:59 PM,"(29.9413532296449, -90.0696290480684)",3681063.14,526371.84
3624 Magazine St Apt 201 Units 201,3624 Magazine St Apt 201 Units 201,Commercial STR,1,2,09/25/2020 11:59:59 PM,"(29.9216555235248, -90.0922418757046)",3673979.26,519130.76
628 Baronne St Apt 203,628 Baronne St Apt 203,Commercial STR,2,4,01/02/2020 11:59:59 PM,"(29.9482386534933, -90.0734460184975)",3679826.78,528862.32
1479 N Prieur St,1479 N Prieur St,Accessory STR,1,2,10/07/2020 11:59:59 PM,"(29.9728098165659, -90.0700355433265)",3680808.29,537809.2
MARGARET PLACE,1133 MARGARET PL,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,"(29.9408186072843, -90.0724639370304)",3680167.4733,526167.541438
506 Opelousas Ave,506 Opelousas Ave,Commercial STR,1,2,10/07/2020 11:59:59 PM,"(29.9488805240997, -90.0502692763063)",3687163.7,529177.17
1506 St Philip St,1506 St Philip St,Accessory STR,,,10/21/2019 12:45:21 PM,"(29.9652829867677, -90.069872687311)",3680890.03,535072.73
962 N Carrollton Ave,962 N Carrollton Ave,Accessory STR,1,2,10/07/2020 11:59:59 PM,"(29.9812789873594, -90.0928774130109)",3673543.23,540809.91
969 Wilson Dr,969 Wilson Dr,Accessory STR,1,2,09/26/2020 11:59:59 PM,"(29.9802041368142, -90.0912189536194)",3674072.49,540424.74
1769 N Broad St,1769 N Broad St,Accessory STR,3,6,09/26/2020 11:59:59 PM,"(29.9824063347998, -90.0730186768588)",3679825.45,541288.46
200 Audubon St,200 Audubon St,Accessory STR,1,2,09/26/2020 11:59:59 PM,"(29.9277258212702, -90.1333635706374)",3660930.33,521199.4
1201 Columbus St Apartment 1,1201 Columbus St Apartment 1,Commercial STR,1,2,09/26/2020 11:59:59 PM,"(29.9680937855051, -90.0633762861801)",3682935.61,536117.58
1019 Burdette St,1019 Burdette St,Accessory STR,1,2,09/18/2020 11:59:59 PM,"(29.9441977447029, -90.1282905034019)",3662474.2,527206.08
4631 Annette St Apt A,4631 Annette St Apt A,Accessory STR,3,6,09/11/2020 11:59:59 PM,"(30.0053954756207, -90.0654203725425)",3682138.33,549674.74
1201 Columbus St Apartment 2,1201 Columbus St Apartment 2,Commercial STR,1,2,09/26/2020 11:59:59 PM,"(29.9680384795311, -90.0633274661412)",3682951.29,536097.64
1818 Carondelet St Unit 3,1818 Carondelet St Unit 3,Commercial STR,4,8,07/19/2020 01:10:01 PM,"(29.9368421401538, -90.0789551233145)",3678127.54,524698.99
1812 Carondelet St Unit 1,1812 Carondelet St Unit 1,Commercial STR,4,8,07/19/2020 01:10:23 PM,"(29.936869242871, -90.0788701951062)",3678154.33,524709.14
1818 Carondelet St Unit1,1818 Carondelet St Unit1,Commercial STR,4,8,07/19/2020 01:10:12 PM,"(29.9368069347918, -90.0789112986736)",3678141.56,524686.34
1812 Carondelet St Unit 3,1812 Carondelet St Unit 3,Commercial STR,4,8,07/19/2020 01:10:34 PM,"(29.9368330672728, -90.0788169103925)",3678171.35,524696.17
